instance: TPI_COL_2.txt
num_colors: 42
assignments:
1 3
2 19
3 20
4 41
5 2
6 30
7 3
8 2
9 16
10 21
11 36
12 27
13 14
14 18
15 29
16 41
17 11
18 34
19 33
20 35
21 28
22 18
23 35
24 17
25 37
26 9
27 28
28 31
29 22
30 32
31 42
32 29
33 23
34 1
35 16
36 15
37 4
38 10
39 5
40 27
41 4
42 10
43 30
44 2
45 26
46 6
47 28
48 33
49 17
50 12
51 26
52 25
53 33
54 10
55 20
56 1
57 36
58 39
59 1
60 2
61 30
62 42
63 5
64 39
65 35
66 24
67 10
68 34
69 20
70 12
71 9
72 17
73 29
74 37
75 5
76 15
77 13
78 19
79 13
80 24
81 42
82 9
83 8
84 3
85 38
86 1
87 3
88 22
89 33
90 11
91 41
92 23
93 40
94 12
95 4
96 18
97 36
98 25
99 14
100 9
101 6
102 18
103 8
104 40
105 17
106 42
107 38
108 21
109 26
110 32
111 29
112 31
113 16
114 40
115 36
116 11
117 38
118 28
119 16
120 33
121 30
122 6
123 7
124 11
125 10
126 27
127 13
128 1
